"sample","chromosome","group","strand","piN","piS","piN.piS","pi"
"EntNic_aaRJ-C225","HiC_scaffold_1","Grassland","plus",0.00232912881099055,0.0121717110342817,0.191356,0.0162357
"EntNic_aaRJ-C225","HiC_scaffold_1","Grassland","minus",0.00228657127174976,0.0119061071669412,0.19205,0.0162357
"EntNic_aaRJ-C225","HiC_scaffold_2","Grassland","plus",0.000735119698459708,0.00351997952977076,0.208842,0.00425427
"EntNic_aaRJ-C225","HiC_scaffold_2","Grassland","minus",0.000739313655102716,0.00362802602069262,0.203778,0.00425427
"EntNic_aaRJ-C225","HiC_scaffold_3","Grassland","plus",0.00230349738772404,0.0126402229521641,0.182236,0.0128791
"EntNic_aaRJ-C225","HiC_scaffold_3","Grassland","minus",0.00215630764597908,0.0122056741062505,0.176664,0.0128791
"EntNic_aaRJ-C225","HiC_scaffold_4","Grassland","plus",0.00163562881510129,0.0112283451865456,0.14567,0.0116231
"EntNic_aaRJ-C225","HiC_scaffold_4","Grassland","minus",0.00167858121302879,0.0113718252912659,0.147609,0.0116231
"EntNic_aaRJ-C225","HiC_scaffold_5","Grassland","plus",0.00242536214981098,0.0138872263859039,0.174647,0.0122889
"EntNic_aaRJ-C225","HiC_scaffold_5","Grassland","minus",0.00228245043101811,0.0134531580472337,0.169659,0.0122889
"EntNic_aaRJ-C225","HiC_scaffold_6","Grassland","plus",0.00165246645376943,0.0139533332795436,0.118428,0.0111757
"EntNic_aaRJ-C225","HiC_scaffold_6","Grassland","minus",0.00158890958378975,0.0127643710893906,0.12448,0.0111757
"EntNic_aaRJ-C225","HiC_scaffold_7","Grassland","plus",0.00134349473605225,0.00590148341863986,0.227654,0.0201108
"EntNic_aaRJ-C225","HiC_scaffold_7","Grassland","minus",0.00126782436561827,0.00556901326598407,0.227657,0.0201108
"EntNic_aeRoe-C36","HiC_scaffold_1","Grassland","plus",0.00259264422085881,0.0130736916713473,0.19831,0.0167175
"EntNic_aeRoe-C36","HiC_scaffold_1","Grassland","minus",0.00254373644250277,0.0127902829424689,0.19888,0.0167175
"EntNic_aeRoe-C36","HiC_scaffold_2","Grassland","plus",0.00107856729027631,0.00551362039023516,0.195619,0.00436509
"EntNic_aeRoe-C36","HiC_scaffold_2","Grassland","minus",0.00113679063179959,0.00557090228303641,0.204059,0.00436509
"EntNic_aeRoe-C36","HiC_scaffold_3","Grassland","plus",0.00247795685960905,0.0133478268848723,0.185645,0.0132769
"EntNic_aeRoe-C36","HiC_scaffold_3","Grassland","minus",0.00233274925663163,0.0128828157610129,0.181074,0.0132769
"EntNic_aeRoe-C36","HiC_scaffold_4","Grassland","plus",0.00171874158477826,0.0117530711609312,0.146238,0.0116091
"EntNic_aeRoe-C36","HiC_scaffold_4","Grassland","minus",0.00176117511278525,0.0114707860445765,0.153536,0.0116091
"EntNic_aeRoe-C36","HiC_scaffold_5","Grassland","plus",0.00268721107975286,0.0152768709927353,0.175901,0.0145955
"EntNic_aeRoe-C36","HiC_scaffold_5","Grassland","minus",0.00253816341491547,0.0147491971199243,0.172088,0.0145955
"EntNic_aeRoe-C36","HiC_scaffold_6","Grassland","plus",0.00169156094436398,0.0141447449062816,0.119589,0.011313
"EntNic_aeRoe-C36","HiC_scaffold_6","Grassland","minus",0.00164874675223289,0.0130976222532917,0.125881,0.011313
"EntNic_aeRoe-C36","HiC_scaffold_7","Grassland","plus",0.00165129535471402,0.00669753856099258,0.246553,0.018738
"EntNic_aeRoe-C36","HiC_scaffold_7","Grassland","minus",0.00145113834661701,0.006219120164947,0.233335,0.018738
"EntNic_BIJ-C30","HiC_scaffold_1","Grassland","plus",0.00240735938134714,0.0119134629676104,0.20207,0.0165988
"EntNic_BIJ-C30","HiC_scaffold_1","Grassland","minus",0.00237065974804988,0.0116943135705882,0.202719,0.0165988
"EntNic_BIJ-C30","HiC_scaffold_2","Grassland","plus",0.000868167667283583,0.00419491308744881,0.206957,0.00377741
"EntNic_BIJ-C30","HiC_scaffold_2","Grassland","minus",0.000899126230370543,0.00412223072397666,0.218116,0.00377741
"EntNic_BIJ-C30","HiC_scaffold_3","Grassland","plus",0.00223613568537983,0.0118002276693165,0.189499,0.0130195
"EntNic_BIJ-C30","HiC_scaffold_3","Grassland","minus",0.00212050623948603,0.0116783992367316,0.181575,0.0130195
"EntNic_BIJ-C30","HiC_scaffold_4","Grassland","plus",0.00164807347911033,0.0103397759098685,0.159392,0.0117015
